Text	Stress	Boundary	Pitch	Token
Qui	0		C3	C3
ti-	-		D3	D3
me-	X		F3	F3
_	_		G3	G3
tis	-		D3	D3
Do-	X		F3	F3
_	_		G3	G3
mi-	-		G3	G3
_	_		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
num,	+		E3	E3
_	_		D3	D3
		Maior		Maior
lau-	-		F3	F3
_	_		E3	E3
da-	X		F3	F3
te	-		D3	D3
e-	X		D3	D3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
um:	-		D3	D3
_	_		C3	C3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		D3	D3
_	_		D3	D3
_	_		C3	C3
		Maxima		Maxima
u-	x		C3	C3
ni-	-		C3	C3
ver-	X		E3	E3
_	_		F3	F3
sum	-		D3	D3
se-	X		D3	D3
_	_		E3	E3
men	-		D3	D3
Ja-	X		D3	D3
_	_		C3	C3
_	_		D3	D3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
cob,	-		F3	F3
_	_		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maior		Maior
ma-	-		F3	F3
_	_		G3	G3
gni-	x		F3	F3
_	_		F3	F3
_	_		E3	E3
fi-	-		D3	D3
_	_		C3	C3
_	_		D3	D3
ca-	X		C3	C3
_	_		F3	F3
te	-		E3	E3
_	_		F3	F3
_	_		G3	G3
_	_		F3	F3
_	_		G3	G3
e-	X		D3	D3
um.	-		D3	D3
_	_		E3	E3
_	_		E3	E3
_	_		D3	D3
		Finalis		Finalis
