Text	Stress	Boundary	Pitch	Token
Mi-	x		G3	G3
se-	-		G3	G3
re-	X		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
re	-		C4	C4
no-	X		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
bis	-		A3	A3
Do-	X		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
mi-	-		G3	G3
_	_		F3	F3
ne,	+		G3	G3
_	_		A3	A3
_	_		F3	F3
_	_		G3	G3
		Minima		Minima
_	-		Bb3	Bb3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maxima		Maxima
mi-	x		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
se-	-		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
re-	X		F3	F3
_	_		A3	A3
_	_		C4	C4
re	-		C4	C4
no-	X		C4	C4
bis.	-		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
_	_		G3	G3
		Minima		Minima
_	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		A3	A3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Document		Document
