Text	Stress	Boundary	Pitch	Token
Be-	-		G3	G3
a-	X		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
tus	-		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
vir	0		G3	G3
		Minima		Minima
qui	0		G3	G3
_	_		C4	C4
_	_		C4	C4
ti-	X		C4	C4
_	_		D4	D4
met	-		A3	A3
_	_		G3	G3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Minima		Minima
Do-	X		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
mi-	-		A3	A3
_	_		C4	C4
num,	+		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maxima		Maxima
qui	0		F3	F3
_	_		A3	A3
_	_		C4	C4
man-	-		B3	B3
_	_		G3	G3
_	_		A3	A3
da-	X		G3	G3
_	_		F3	F3
_	_		G3	G3
tis	-		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
		Virgula		Virgula
e-	X		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
jus	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
		Maior		Maior
de-	x		F3	F3
le-	-		F3	F3
cta-	X		F3	F3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
tur	-		C4	C4
mul-	X		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		G3	G3
tum.	-		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Finalis		Finalis
