Text	Stress	Boundary	Pitch	Token
Com-	x		E3	E3
mo-	-		E3	E3
vi-	X		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
sti	-		D4	D4
_	_		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
		Minima		Minima
_	-		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
		Maior		Maior
Do-	X		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
mi-	-		A3	A3
ne	+		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		F3	F3
_	_		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
ter-	X		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
ram,	-		A3	A3
_	_		G3	G3
		Maxima		Maxima
et	~		G3	G3
con-	x		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
tur-	-		G3	G3
_	_		F3	F3
ba-	X		G3	G3
sti	-		A3	A3
e-	X		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		C4	C4
_	_		G3	G3
_	_		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
		Minima		Minima
_	-		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		F3	F3
		Minima		Minima
_	-		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		F3	F3
_	_		G3	G3
am.	-		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Finalis		Finalis
