Text	Stress	Boundary	Pitch	Token
Si	0		G3	G3
i-	-		G3	G3
_	_		D3	D3
ni-	x		G3	G3
qui-	-		A3	A3
_	_		C4	C4
ta-	X		C4	C4
tes	-		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
		Minima		Minima
ob-	x		C4	C4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
ser-	-		G3	G3
_	_		A3	A3
va-	X		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
ve-	-		G3	G3
_	_		F3	F3
ris	+		G3	G3
_	_		A3	A3
		Minima		Minima
Do-	X		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
mi-	-		G3	G3
_	_		F3	F3
ne:	+		G3	G3
_	_		A3	A3
_	_		F3	F3
_	_		G3	G3
		Minima		Minima
_	-		Bb3	Bb3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maxima		Maxima
Do-	X		G3	G3
mi-	-		A3	A3
_	_		F3	F3
_	_		G3	G3
ne,	+		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
		Minima		Minima
quis	0		C4	C4
sus-	x		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
ti-	-		C4	C4
ne-	X		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		G3	G3
bit?	-		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Finalis		Finalis
