Text	Stress	Boundary	Pitch	Token
Quo-	X		G3	G3
ni-	-		G3	G3
am	+		G3	G3
_	_		D3	D3
prae-	x		G3	G3
ve-	-		A3	A3
_	_		B3	B3
_	_		A3	A3
ni-	X		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
sti	-		G3	G3
e-	X		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
um	-		A3	A3
_	_		G3	G3
		Maxima		Maxima
in	~		G3	G3
be-	x		G3	G3
_	_		A3	A3
_	_		G3	G3
ne-	-		F3	F3
_	_		G3	G3
di-	x		C4	C4
_	_		C4	C4
cti-	-		A3	A3
_	_		C4	C4
_	_		B3	B3
o-	X		C4	C4
ne	-		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
		Minima		Minima
_	-		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		C4	C4
		Maior		Maior
dul-	-		C4	C4
_	_		D4	D4
ce-	X		C4	C4
_	_		B3	B3
_	_		D4	D4
_	_		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
di-	-		F3	F3
_	_		G3	G3
nis.	+		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Finalis		Finalis
