Text	Stress	Boundary	Pitch	Token
In-	-		G3	G3
tra-	X		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
te	-		C4	C4
in	~		C4	C4
con-	-		C4	C4
spe-	X		C4	C4
_	_		C4	C4
_	_		B3	B3
ctu	-		G3	G3
e-	X		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
jus,	-		A3	A3
_	_		G3	G3
		Maior		Maior
in	~		F3	F3
ex-	x		F3	F3
_	_		A3	A3
_	_		C4	C4
sul-	-		B3	B3
_	_		G3	G3
_	_		A3	A3
ta-	x		G3	G3
_	_		F3	F3
_	_		G3	G3
ti-	-		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
on-	X		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
e.	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
		Finalis		Finalis
