Text	Stress	Boundary	Pitch	Token
Lau-	-		G3	G3
da-	X		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
te	-		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Minima		Minima
Do-	X		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
mi-	-		A3	A3
num	+		G3	G3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Maior		Maior
om-	X		B3	B3
_	_		C4	C4
nes	-		A3	A3
_	_		C4	C4
_	_		B3	B3
gen-	X		C4	C4
tes:	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maxima		Maxima
et	~		F3	F3
col-	x		A3	A3
_	_		C4	C4
lau-	-		B3	B3
_	_		G3	G3
_	_		A3	A3
da-	X		G3	G3
_	_		F3	F3
_	_		G3	G3
te	-		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
e-	X		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
um,	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
		Maior		Maior
o-	X		F3	F3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
mnes	-		C4	C4
po-	X		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		G3	G3
pu-	-		F3	F3
_	_		G3	G3
li.	+		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Finalis		Finalis
