Text	Stress	Boundary	Pitch	Token
Qui	0		G3	G3
con-	-		G3	G3
fi-	X		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
dunt	-		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Minima		Minima
in	~		F3	F3
_	_		G3	G3
Do-	X		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
mi-	-		A3	A3
no,	+		G3	G3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Maior		Maior
sic-	X		B3	B3
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
ut	-		C4	C4
_	_		D4	D4
mons	0		D4	D4
_	_		B3	B3
_	_		C4	C4
Si-	X		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		G3	G3
on:	-		G3	G3
		Minima		Minima
_	-		F3	F3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		D4	D4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maxima		Maxima
non	0		G3	G3
com-	x		G3	G3
_	_		E3	E3
_	_		F3	F3
mo-	-		D3	D3
_	_		G3	G3
ve-	X		G3	G3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
		Minima		Minima
_	-		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
bi-	-		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
tur	+		A3	A3
_	_		G3	G3
		Minima		Minima
in	~		G3	G3
_	_		C4	C4
ae-	-		C4	C4
ter-	X		B3	B3
_	_		D4	D4
_	_		E4	E4
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
num,	-		C4	C4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maxima		Maxima
qui	0		F3	F3
ha-	X		A3	A3
_	_		C4	C4
bi-	-		B3	B3
_	_		G3	G3
_	_		A3	A3
tat	+		G3	G3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
		Minima		Minima
in	~		G3	G3
_	_		A3	A3
Je-	-		G3	G3
ru-	X		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
sa-	-		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
lem.	+		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
		Finalis		Finalis
