Text	Stress	Boundary	Pitch	Token
Ex-	-		C4	C4
_	_		C4	C4
ci-	X		C4	C4
ta,	-		C4	C4
Do-	X		D4	D4
_	_		C4	C4
_	_		C4	C4
_	_		G3	G3
		Minima		Minima
_	-		C4	C4
_	_		D4	D4
_	_		E4	E4
_	_		B3	B3
_	_		C4	C4
_	_		D4	D4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
mi-	-		C4	C4
ne,	+		C4	C4
		Minima		Minima
po-	-		C4	C4
ten-	X		C4	C4
_	_		D4	D4
ti-	-		C4	C4
am	+		C4	C4
tu-	X		C4	C4
am,	-		C4	C4
		Maior		Maior
et	~		D4	D4
_	_		B3	B3
_	_		C4	C4
ve-	X		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		G3	G3
_	_		A3	A3
ni,	-		G3	G3
_	_		F3	F3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		D4	D4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		C4	C4
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
		Maxima		Maxima
ut	0		F3	F3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
sal-	X		C4	C4
_	_		A3	A3
_	_		C4	C4
vos	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
		Minima		Minima
fa-	X		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
ci-	-		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
as	+		F3	F3
_	_		A3	A3
_	_		C4	C4
nos.	0		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		F3	F3
_	_		G3	G3
		Minima		Minima
_	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		D4	D4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		G3	G3
_	_		G3	G3
_	_		A3	A3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		B3	B3
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
_	_		B3	B3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Document		Document
