Text	Stress	Boundary	Pitch	Token
E-	-		G3	G3
un-	X		G3	G3
_	_		A3	A3
_	_		C4	C4
tes	-		C4	C4
_	_		C4	C4
_	_		C4	C4
_	_		B3	B3
_	_		A3	A3
i-	X		C4	C4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
bant	-		G3	G3
_	_		A3	A3
		Minima		Minima
et	~		D3	D3
_	_		F3	F3
fle-	X		F3	F3
_	_		D3	D3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		D3	D3
_	_		G3	G3
_	_		F3	F3
_	_		G3	G3
_	_		Bb3	Bb3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
bant,	-		A3	A3
_	_		G3	G3
		Maxima		Maxima
mit-	-		G3	G3
_	_		A3	A3
ten-	X		G3	G3
_	_		A3	A3
tes	-		G3	G3
se-	X		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		G3	G3
_	_		A3	A3
_	_		G3	G3
_	_		F3	F3
mi-	-		F3	F3
_	_		A3	A3
_	_		C4	C4
na	+		C4	C4
su-	X		C4	C4
a.	-		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Finalis		Finalis
