Text	Stress	Boundary	Pitch	Token
Sae-	X		G3	G3
pe	-		G3	G3
_	_		F3	F3
_	_		F3	F3
_	_		F3	F3
_	_		D3	D3
_	_		E3	E3
_	_		C3	C3
_	_		C3	C3
_	_		D3	D3
_	_		F3	F3
_	_		F3	F3
_	_		G3	G3
_	_		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Minima		Minima
ex-	-		G3	G3
_	_		A3	A3
pu-	x		F3	F3
gna-	-		G3	G3
_	_		A3	A3
_	_		Bb3	Bb3
ve-	X		Bb3	Bb3
runt	-		Bb3	Bb3
_	_		Bb3	Bb3
_	_		Bb3	Bb3
_	_		A3	A3
_	_		G3	G3
me	0		G3	G3
		Maior		Maior
a	~		G3	G3
ju-	x		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		B3	B3
_	_		C4	C4
ven-	-		G3	G3
_	_		A3	A3
_	_		F3	F3
tu-	X		F3	F3
_	_		A3	A3
_	_		C4	C4
te	-		C4	C4
me-	X		C4	C4
_	_		B3	B3
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		C4	C4
_	_		C4	C4
_	_		A3	A3
_	_		G3	G3
_	_		A3	A3
_	_		Bb3	Bb3
_	_		G3	G3
_	_		F3	F3
		Minima		Minima
_	-		A3	A3
_	_		C4	C4
_	_		A3	A3
_	_		B3	B3
_	_		G3	G3
a.	-		G3	G3
_	_		A3	A3
_	_		A3	A3
_	_		G3	G3
		Finalis		Finalis
